STRUCTURE_NUMBER_008,LOCATION_009,COORDINATES,lat,lon,ADT_029,DETOUR_KILOS_019,DETOUR_MILES,HISTORY_037,S_symbolic,E_economic,D_detour,ED,CF,Risk_Level,Street_View_URL,Risk_Explanation
121020AA0207001,'1.8 MI S OF HWY 290',"(29.959211, -95.717753)",29.95921111111111,-95.71775277777778,307170,37,22.990727,5,1,6,5,30,31,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.959211,-95.717753","This bridge is at high explosive and security risk because it carries 307,170 vehicles per day, giving it an economic importance score of E = 6 (more than 200,000 vehicles per day). With no comparable detour within 50 miles, its detour impact score is D = 5, meaning Any attack or closure would leave traffic with almost no alternative."
121700067508229.00,'1.53 MI SE OF SH 105',"(30.293508, -95.464)",30.29350833333333,-95.464,164000,159,98.797989,5,1,5,6,30,31,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.293508,-95.464000","This bridge is at high explosive and security risk because it carries 164,000 vehicles per day, giving it an economic importance score of E = 5 (100,000 to 200,000 vehicles per day). With no comparable detour within 100 miles or no alternate route, its detour impact score is D = 6, meaning Any attack or closure would strand traffic with very limited alternatives."
22200008112086.00,'.9 MI N OF US287 OVER I35',"(32.899894, -97.317233)",32.89989444444444,-97.31723333333332,185654,35,21.747985,3,4,5,5,25,29,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.899894,-97.317233","This bridge is at high explosive and security risk because it carries 185,654 vehicles per day, giving it an economic importance score of E = 5 (100,000 to 200,000 vehicles per day). With no comparable detour within 50 miles, its detour impact score is D = 5, meaning Any attack or closure would severely disrupt traffic with no nearby alternative."
150150052104324.00,'3.9 Mi NE of SH 16',"(29.505292, -98.545997)",29.50529166666667,-98.54599722222224,196576,40,24.85484,3,4,5,5,25,29,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.505292,-98.545997","This bridge is at high explosive and security risk because it carries 196,576 vehicles per day, giving it an economic importance score of E = 5 (100,000 to 200,000 vehicles per day). With no comparable detour within 50 miles, its detour impact score is D = 5, meaning Any attack or closure would leave traffic with no practical alternative route."
102120049504064.00,'0.35 MI W OF US 69',"(32.468081, -95.393339)",32.46808055555556,-95.39333888888888,32123,159,98.797989,3,4,4,6,24,28,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.468081,-95.393339","This bridge is at high explosive and security risk because it carries 32,123 vehicles per day, giving it an economic importance score of E = 4 (25,000 to 100,000 vehicles per day). With no comparable detour within 100 miles or no alternate route, its detour impact score is D = 6, meaning Any attack or closure would leave a major traffic corridor with no viable alternative."
161780061702026.00,'INTRACOASTAL CANAL',"(27.634811, -97.239883)",27.634811111111112,-97.23988333333334,32667,113,70.214923,3,4,4,6,24,28,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.634811,-97.239883","This bridge is at high explosive and security risk because it carries 32,667 vehicles per day, giving it an economic importance score of E = 4 (25,000 to 100,000 vehicles per day). With no comparable detour within 100 miles or no alternate route, its detour impact score is D = 6, meaning Any attack or closure would cut off a critical traffic route with no nearby alternative."
150150052104371.00,'1.5 Mi E of US 281',"(29.516097, -98.454717)",29.51609722222222,-98.45471666666668,302626,23,14.291533,5,1,6,4,24,25,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.516097,-98.454717","This bridge is at high explosive and security risk because it carries 302,626 vehicles per day, giving it an economic importance score of E = 6 (more than 200,000 vehicles per day). With no comparable detour within 20 miles, its detour impact score is D = 4, meaning Any attack or closure would leave this high-volume corridor with no practical detour."
121020011005196.00,'1.0 MI N OF FM 1960',"(30.035706, -95.429375)",30.03570555555556,-95.429375,97280,199,123.652829,5,1,4,6,24,25,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.035706,-95.429375","This bridge is at high explosive and security risk because it carries 97,280 vehicles per day, giving it an economic importance score of E = 4 (25,000 to 100,000 vehicles per day). With no comparable detour within 100 miles or no alternate route, its detour impact score is D = 6, meaning Any attack or closure would force traffic onto routes far from this corridor."
121020050003352.00,'JCT. OF IH45 & BW8',"(29.604767, -95.205478)",29.604766666666663,-95.2054777777778,41000,159,98.797989,5,1,4,6,24,25,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.604767,-95.205478","This bridge is at high explosive and security risk because it carries 41,000 vehicles per day, giving it an economic importance score of E = 4 (25,000 to 100,000 vehicles per day). With no comparable detour within 100 miles or no alternate route, its detour impact score is D = 6, meaning Any attack or closure would cause severe disruption with no nearby detour available."
142460137802028.00,'0.2 MI W OF IH 35',"(30.558203, -97.695)",30.55820277777778,-97.695,40741,159,98.797989,5,1,4,6,24,25,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.558203,-97.695000","This bridge is at high explosive and security risk because it carries 40,741 vehicles per day, giving it an economic importance score of E = 4 (25,000 to 100,000 vehicles per day). With no comparable detour within 100 miles or no alternate route, its detour impact score is D = 6, meaning Any attack or closure would leave this busy corridor without a viable alternative."
161780061702084.00,'1.75 MI E OF SH 358',"(27.657842, -97.26075)",27.657841666666663,-97.26075,32667,113,70.214923,5,1,4,6,24,25,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.657842,-97.260750","This bridge is at high explosive and security risk because it carries 32,667 vehicles per day, giving it an economic importance score of E = 4 (25,000 to 100,000 vehicles per day). With no comparable detour within 100 miles or no alternate route, its detour impact score is D = 6, meaning Any attack or closure would leave traffic with almost no detour option."
221590122901019.00,'0.60 MI SE OF SL 480',"(28.662636, -100.446517)",28.66263611111111,-100.44651666666668,26483,85,52.816535,5,1,4,6,24,25,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.662636,-100.446517","This bridge is at high explosive and security risk because it carries 26,483 vehicles per day, giving it an economic importance score of E = 4 (25,000 to 100,000 vehicles per day). With no comparable detour within 100 miles or no alternate route, its detour impact score is D = 6, meaning Any attack or closure would strand a major traffic corridor with no nearby alternative."
121020027115377.00,'1.50 MI N OF SH 225',"(29.725133, -95.266456)",29.72513333333333,-95.26645555555557,136576,21,13.048791,3,4,5,4,20,24,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.725133,-95.266456","This bridge is at high explosive and security risk because it carries 136,576 vehicles per day, giving it an economic importance score of E = 5 (100,000 to 200,000 vehicles per day). With no comparable detour within 20 miles, its detour impact score is D = 4, meaning Any attack or closure would cut off traffic with no practical alternate route nearby."
80300000607045.00,'1.00 MI E  OF TAYLOR C/L',"(32.433667, -99.613211)",32.43366666666666,-99.6132111111111,28489,35,21.747985,3,4,4,5,20,24,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.433667,-99.613211","This bridge is at high explosive and security risk because it carries 28,489 vehicles per day, giving it an economic importance score of E = 4 (25,000 to 100,000 vehicles per day). With no comparable detour within 50 miles, its detour impact score is D = 5, meaning Any attack or closure would force traffic far out of its way with no nearby alternative."
141060011307049.00,'9.2 MI E OF BLANCO C/L',"(30.191967, -98.09575)",30.191966666666666,-98.09575,41885,39,24.233469,3,4,4,5,20,24,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.191967,-98.095750","This bridge is at high explosive and security risk because it carries 41,885 vehicles per day, giving it an economic importance score of E = 4 (25,000 to 100,000 vehicles per day). With no comparable detour within 50 miles, its detour impact score is D = 5, meaning Any attack or closure would leave this corridor with extremely limited detour options."
150950002503012.00,'4.3 MI W OF FM 465',"(29.504133, -98.178319)",29.50413333333333,-98.17831944444444,53260,37,22.990727,3,4,4,5,20,24,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.504133,-98.178319","This bridge is at high explosive and security risk because it carries 53,260 vehicles per day, giving it an economic importance score of E = 4 (25,000 to 100,000 vehicles per day). With no comparable detour within 50 miles, its detour impact score is D = 5, meaning Any attack or closure would isolate this corridor with no practical alternative route."
161780010106046.00,'2.3 MI NE OF SHIP CHANNEL',"(27.845294, -97.368386)",27.845294444444445,-97.3683861111111,26259,80,49.70968,3,4,4,5,20,24,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.845294,-97.368386","This bridge is at high explosive and security risk because it carries 26,259 vehicles per day, giving it an economic importance score of E = 4 (25,000 to 100,000 vehicles per day). With no comparable detour within 50 miles, its detour impact score is D = 5, meaning Any attack or closure would leave traffic with no detour option within a significant distance."
161780010106063.00,'2.3 MI NE OF SHIP CHANNEL',"(27.845414, -97.368561)",27.84541388888889,-97.3685611111111,25259,80,49.70968,3,4,4,5,20,24,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=27.845414,-97.368561","This bridge is at high explosive and security risk because it carries 25,259 vehicles per day, giving it an economic importance score of E = 4 (25,000 to 100,000 vehicles per day). With no comparable detour within 50 miles, its detour impact score is D = 5, meaning Any attack or closure would severely impact traffic with no comparable detour nearby."
181300009503061.00,'0.7 MI E OF DALLAS CO',"(32.775531, -96.508067)",32.775530555555555,-96.50806666666666,33856,34,21.126614,3,4,4,5,20,24,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.775531,-96.508067","This bridge is at high explosive and security risk because it carries 33,856 vehicles per day, giving it an economic importance score of E = 4 (25,000 to 100,000 vehicles per day). With no comparable detour within 50 miles, its detour impact score is D = 5, meaning Any attack or closure would leave a heavily used corridor with almost no alternative."
201810002814070.00,'1.70 MI E  OF SH 87',"(30.120067, -93.719367)",30.120066666666663,-93.71936666666667,50507,39,24.233469,3,4,4,5,20,24,Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.120067,-93.719367","This bridge is at high explosive and security risk because it carries 50,507 vehicles per day, giving it an economic importance score of E = 4 (25,000 to 100,000 vehicles per day). With no comparable detour within 50 miles, its detour impact score is D = 5, meaning Any attack or closure would leave this route without a practical detour option."
