STRUCTURE_NUMBER_008,LOCATION_009,lat,lon,"coordinates (lat, lon)",YEAR_BUILT_027,AGE,STRUCTURE_KIND_043A,FRACTURE_092A,is_steel,ADT_029,PERCENT_ADT_TRUCK_109,TRAFFIC_LANES_ON_028A,SLF,ADT_b,pi_T,T1,AM_years,AE_years,Pf_fatigue,Risk_Level,Risk_Explanation,Street_View_URL
102120049504069,'0.3 MI E OF US 69',32.4685,-95.38343888888888,"32.468500, -95.383439",1962,63,4,N  ,True,20932,41.0,3,0.8,20932,0.41,2505979.04,11.237125111788645,9.130164153328272,1.0,Top 20,"This steel continuous bridge, built in 1962, carries 6,866 trucks per day in its critical lane. Under this load, its estimated fatigue life is only 11.2 years. At 63 years old, it has operated 52 years past its calculated fatigue life — this makes it one of the highest fatigue risk bridges in Texas.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.468500,-95.383439"
150150002502212,'0.90 MI SW OF IH 410',29.43159444444445,-98.40556666666669,"29.431594, -98.405567",1964,61,4,N  ,True,87098,13.0,3,0.8,87098,0.13,3306240.08,8.517227823334595,6.920247606459359,1.0,Top 20,"This steel continuous bridge, built in 1964, carries 9,058 trucks per day in its critical lane. Under this load, its estimated fatigue life is only 8.5 years. At 61 years old, it has operated 52 years past its calculated fatigue life — this bridge stands among the most fatigue-critical structures in the state.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.431594,-98.405567"
150150002502213,'0.90 MI SW OF IH 410',29.431786111111112,-98.40550555555556,"29.431786, -98.405506",1964,61,4,N  ,True,87899,13.0,3,0.8,87899,0.13,3336646.0400000005,8.439612611711128,6.857185247015292,1.0,Top 20,"This steel continuous bridge, built in 1964, carries 9,141 trucks per day in its critical lane. Under this load, its estimated fatigue life is only 8.4 years. At 61 years old, it has operated 53 years past its calculated fatigue life — this bridge has long surpassed any safe operational threshold.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.431786,-98.405506"
150150002502214,'1.0 MI E OF LOOP 13',29.43621388888889,-98.39033055555556,"29.436214, -98.390331",1964,61,4,N  ,True,79995,17.0,2,0.85,79995,0.17,4219136.2875,6.674351829645656,5.422910861587095,1.0,Top 20,"This steel continuous bridge, built in 1964, carries 11,559 trucks per day in its critical lane. Under this load, its estimated fatigue life is only 6.7 years. At 61 years old, it has operated 54 years past its calculated fatigue life — decades of overload have severely compromised the structural integrity of this bridge.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.436214,-98.390331"
102120049504068,'0.3 MI E OF US 69',32.46831666666667,-95.383,"32.468317, -95.383000",1962,63,4,N  ,True,20932,41.0,2,0.85,20932,0.41,2662602.73,10.576117752271664,8.593095673720729,1.0,Top 20,"This steel continuous bridge, built in 1962, carries 7,295 trucks per day in its critical lane. Under this load, its estimated fatigue life is only 10.6 years. At 63 years old, it has operated 52 years past its calculated fatigue life — this level of overuse puts this bridge at serious risk of fatigue failure.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.468317,-95.383000"
102120049504067,'8.0 MI E OF SH 110',32.468358333333335,-95.38743333333332,"32.468358, -95.387433",1962,63,4,N  ,True,25510,38.0,2,0.85,25510,0.38,3007501.45,9.363254006078702,7.607643879938945,1.0,Top 20,"This steel continuous bridge, built in 1962, carries 8,240 trucks per day in its critical lane. Under this load, its estimated fatigue life is only 9.4 years. At 63 years old, it has operated 54 years past its calculated fatigue life — the accumulated damage from heavy truck traffic makes this a top priority for intervention.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.468358,-95.387433"
102120049504066,'8.0 MI E OF SH 110',32.46853611111111,-95.38762222222223,"32.468536, -95.387622",1962,63,4,N  ,True,20932,41.0,2,0.85,20932,0.41,2662602.73,10.576117752271664,8.593095673720729,1.0,Top 20,"This steel continuous bridge, built in 1962, carries 7,295 trucks per day in its critical lane. Under this load, its estimated fatigue life is only 10.6 years. At 63 years old, it has operated 52 years past its calculated fatigue life — this bridge is one of the most urgent fatigue concerns in the Texas network.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.468536,-95.387622"
180570019603120,'1.2 Mi NW of Inwood Rd',32.815980555555555,-96.86804444444444,"32.815981, -96.868044",1959,66,4,N  ,True,116054,10.0,3,0.8,116054,0.1,3388776.8000000003,8.309783046201213,6.751698725038485,1.0,Top 20,"This steel continuous bridge, built in 1959, carries 9,284 trucks per day in its critical lane. Under this load, its estimated fatigue life is only 8.3 years. At 66 years old, it has operated 58 years past its calculated fatigue life — heavy truck loads over decades have pushed this bridge far beyond its design limits.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.815981,-96.868044"
150150001709138,'2.80 MI S OF LP 13',29.337319444444443,-98.56668055555556,"29.337319, -98.566681",1960,65,4,N  ,True,48778,26.0,2,0.85,48778,0.26,3934677.37,7.156876498872892,5.814962155334225,1.0,Top 20,"This steel continuous bridge, built in 1960, carries 10,780 trucks per day in its critical lane. Under this load, its estimated fatigue life is only 7.2 years. At 65 years old, it has operated 58 years past its calculated fatigue life — this bridge has exhausted its fatigue life and remains in active service — a critical safety concern.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.337319,-98.566681"
102120049504061,'0.75 MI W OF US 69',32.468469444444445,-95.40050833333332,"32.468469, -95.400508",1962,63,4,N  ,True,25510,38.0,2,0.85,25510,0.38,3007501.45,9.363254006078702,7.607643879938945,1.0,Top 20,"This steel continuous bridge, built in 1962, carries 8,240 trucks per day in its critical lane. Under this load, its estimated fatigue life is only 9.4 years. At 63 years old, it has operated 54 years past its calculated fatigue life — the gap between its fatigue life and actual age makes this one of the most at-risk bridges in Texas.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.468469,-95.400508"
