STRUCTURE_NUMBER_008,LOCATION_009,lat,lon,"coordinates (lat, lon)",YEAR_BUILT_027,bridge_hurricane_category,damage_level,max_sustained_wind_kt_nearby,max_sustained_wind_mph_nearby,V_des_hurr,V_scour_hurr,V_age_hurr,Risk_hurricane,Risk_Level,Risk_Explanation,Street_View_URL
201240036802018,'1.9 MI NE OF SH 73',29.84321111111111,-94.33088888888888,"29.843211, -94.330889",1937,3,High,100.0,115.078,1.0,1.2,2.5142857142857142,0.6979777112225567,Top 20,"This bridge, built in 1937, has a Category 3 wind exposure of 115.1 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.698, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.843211,-94.330889"
201240AA0275002,'1.4 MI S OF SH 124',30.00230833333333,-94.15509444444444,"30.002308, -94.155094",1970,3,High,100.0,115.078,2.0,1.2,1.5714285714285714,0.6830172100156622,Top 20,"This bridge, built in 1970, has a Category 3 wind exposure of 115.1 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.683, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.002308,-94.155094"
161960018002018,'3.8 MI N OF FM 774',28.376775,-96.91455555555557,"28.376775, -96.914556",1930,4,Very High,115.0,132.3397,1.0,1.2,2.7142857142857144,0.6811832388412338,Top 20,"This bridge, built in 1930, has a Category 4 wind exposure of 132.3 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a Very High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.681, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.376775,-96.914556"
200360036701015,'1.1 MI N OF FM 1941',29.730955555555557,-94.37560833333332,"29.730956, -94.375608",1940,3,High,100.0,115.078,1.0,1.2,2.428571428571429,0.6741830165217878,Top 20,"This bridge, built in 1940, has a Category 3 wind exposure of 115.1 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.674, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.730956,-94.375608"
201010006506079,'2.4 MI S OF SH 105',30.179247222222223,-94.18613888888888,"30.179247, -94.186139",1953,3,High,100.0,115.078,2.0,1.2,2.057142857142857,0.64910202256539,Top 20,"This bridge, built in 1953, has a Category 3 wind exposure of 115.1 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.649, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.179247,-94.186139"
161960AA0204001,'1.5 MI E OF SH 35',28.382880555555555,-96.88491944444444,"28.382881, -96.884919",1965,4,Very High,115.0,132.3397,1.3333333333333333,1.2,1.7142857142857144,0.6199477627607141,Top 20,"This bridge, built in 1965, has a Category 4 wind exposure of 132.3 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a Very High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.62, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.382881,-96.884919"
130290B00445001,'0.1 MI NE OF SEADRIFT ST',28.60915555555556,-96.63252777777775,"28.609156, -96.632528",1960,4,Very High,115.0,132.3397,1.0,1.2,1.8571428571428568,0.6140547589601438,Top 20,"This bridge, built in 1960, has a Category 4 wind exposure of 132.3 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a Very High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.614, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.609156,-96.632528"
161960044705040,'0.60 MI W OF SH 35',28.321405555555557,-96.945925,"28.321406, -96.945925",1941,4,Very High,115.0,132.3397,1.0,1.2,2.4,0.6023093901333014,Top 20,"This bridge, built in 1941, has a Category 4 wind exposure of 132.3 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a Very High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.602, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=28.321406,-96.945925"
201240AA0276003,'2.3 MI N OF SH 73',29.875075,-94.15965277777778,"29.875075, -94.159653",1960,3,High,100.0,115.078,1.3333333333333333,1.2,1.8571428571428568,0.5713053314892819,Top 20,"This bridge, built in 1960, has a Category 3 wind exposure of 115.1 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a High damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.571, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.875075,-94.159653"
120200252302007,'4.45 MI NE OF FM 523',29.147805555555557,-95.31544722222222,"29.147806, -95.315447",1965,2,Moderate,95.0,109.3241,2.0,1.2,1.7142857142857144,0.5633412808219284,Top 20,"This bridge, built in 1965, has a Category 2 wind exposure of 109.3 mph based on the Saffir-Simpson Hurricane Wind Scale (SSHWS), classified as a Moderate damage level. Its foundation has a scour vulnerability (V_scour) of 1.2 (NBI Item 113), with a risk index of 0.563, where a larger value indicates higher relative hurricane risk.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.147806,-95.315447"
