STRUCTURE_NUMBER_008,LOCATION_009,lat,lon,"coordinates (lat, lon)",YEAR_BUILT_027,FUNCTIONAL_CLASS_026,ADT_029,PERCENT_ADT_TRUCK_109,MIN_VERT_CLR_010,VC_ft,d_vc,N_detour,p_height,V_elem_height,Risk_Index,Risk_Level,Risk_Explanation,Street_View_URL
121020005009518,'1.65 MI NW OF IH 610',29.8193666666667,-95.4683166666667,"29.819367, -95.468317",2016,12,273500,10.0,3.72,12.2047248,86.0875099480959,23544.9339708042,23544.9339708042,1.0,23544.9339708042,Top 20,"This bridge has a vertical clearance of 12.2 ft (NBI Item 10), below the 14.0 ft non-interstate standard where no trucks require detour. The clearance restriction causes 86.1% of trucks to detour (Eq. 10.1), and with an ADT of 273,500 and 10.0% truck traffic, an estimated 23,545 trucks per day are unable to use this crossing.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.819367,-95.468317"
41880027501171,'0.6 MI. E of IH 27',35.1925444444444,-101.826922222222,"35.192544, -101.826922",2018,11,48600,35.0,4.36,14.3044624,1.62718331296,276.783881534496,276.783881534496,1.0,276.783881534496,Top 20,"This bridge has a vertical clearance of 14.3 ft (NBI Item 10), below the 16.1 ft interstate standard where no trucks require detour. The clearance restriction causes 1.6% of trucks to detour (Eq. 10.1), and with an ADT of 48,600 and 35.0% truck traffic, an estimated 277 trucks per day are unable to use this crossing.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.192544,-101.826922"
100930E00506102,'1.17 MI SW of Spur 502',32.524675,-94.7620833333333,"32.524675, -94.762083",2010,17,10938,2.0,1.83,6.0039372,100.0,218.76,218.76,1.0,218.76,Top 20,"This bridge has a vertical clearance of 6.0 ft (NBI Item 10), below the 14.0 ft non-interstate standard where no trucks require detour. The clearance restriction causes 100.0% of trucks to detour (Eq. 10.1), and with an ADT of 10,938 and 2.0% truck traffic, an estimated 219 trucks per day are unable to use this crossing.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.524675,-94.762083"
41880027501172,'0.6 MI E of IH 27',35.1923944444444,-101.826902777778,"35.192394, -101.826903",2018,11,50400,19.0,4.36,14.3044624,1.62718331296,155.81907404905,155.81907404905,1.0,155.81907404905,Top 20,"This bridge has a vertical clearance of 14.3 ft (NBI Item 10), below the 16.1 ft interstate standard where no trucks require detour. The clearance restriction causes 1.6% of trucks to detour (Eq. 10.1), and with an ADT of 50,400 and 19.0% truck traffic, an estimated 156 trucks per day are unable to use this crossing.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.192394,-101.826903"
110030255301016,'AT US 59/SOUTH INTERCHANG',31.3096833333333,-94.7264277777778,"31.309683, -94.726428",1988,14,3950,12.0,3.94,12.9265096,22.9155132845111,108.619532968582,108.619532968582,1.0,108.619532968582,Top 20,"This bridge has a vertical clearance of 12.9 ft (NBI Item 10), below the 14.0 ft non-interstate standard where no trucks require detour. The clearance restriction causes 22.9% of trucks to detour (Eq. 10.1), and with an ADT of 3,950 and 12.0% truck traffic, an estimated 109 trucks per day are unable to use this crossing.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.309683,-94.726428"
41880027501174,'1.12 MI E of IH 27',35.1926111111111,-101.817336111111,"35.192611, -101.817336",2018,11,39600,18.0,4.42,14.5013128,1.44911244112,103.292734803034,103.292734803034,1.0,103.292734803034,Top 20,"This bridge has a vertical clearance of 14.5 ft (NBI Item 10), below the 16.1 ft interstate standard where no trucks require detour. The clearance restriction causes 1.4% of trucks to detour (Eq. 10.1), and with an ADT of 39,600 and 18.0% truck traffic, an estimated 103 trucks per day are unable to use this crossing.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.192611,-101.817336"
41880027501173,'1.12 mi E of IH 27',35.1927555555556,-101.817313888889,"35.192756, -101.817314",2018,11,39650,17.0,4.42,14.5013128,1.44911244112,97.6774240936938,97.6774240936938,1.0,97.6774240936938,Top 20,"This bridge has a vertical clearance of 14.5 ft (NBI Item 10), below the 16.1 ft interstate standard where no trucks require detour. The clearance restriction causes 1.4% of trucks to detour (Eq. 10.1), and with an ADT of 39,650 and 17.0% truck traffic, an estimated 98 trucks per day are unable to use this crossing.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.192756,-101.817314"
180570000911397,'1.8 Mi E of IH 45',32.7910833333333,-96.75615,"32.791083, -96.756150",1963,11,82550,8.0,4.47,14.6653548,1.30072004792,85.8995519646368,85.8995519646368,1.0,85.8995519646368,Top 20,"This bridge has a vertical clearance of 14.7 ft (NBI Item 10), below the 16.1 ft interstate standard where no trucks require detour. The clearance restriction causes 1.3% of trucks to detour (Eq. 10.1), and with an ADT of 82,550 and 8.0% truck traffic, an estimated 86 trucks per day are unable to use this crossing.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.791083,-96.756150"
201760021404005,'0.00 MI W LOUISIANA S/L',31.0643388888889,-93.5191305555556,"31.064339, -93.519131",1937,6,1369,16.0,3.79,12.4343836,35.6641939149492,78.1188503513047,78.1188503513047,1.0,78.1188503513047,Top 20,"This bridge has a vertical clearance of 12.4 ft (NBI Item 10), below the 14.0 ft non-interstate standard where no trucks require detour. The clearance restriction causes 35.7% of trucks to detour (Eq. 10.1), and with an ADT of 1,369 and 16.0% truck traffic, an estimated 78 trucks per day are unable to use this crossing.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.064339,-93.519131"
121020050003229,'SW OF DOWNTOWN HOUSTON',29.7493583333333,-95.371275,"29.749358, -95.371275",1967,11,124161,7.0,4.62,15.1574808,0.855542868320001,74.3575406514357,74.3575406514357,1.0,74.3575406514357,Top 20,"This bridge has a vertical clearance of 15.2 ft (NBI Item 10), below the 16.1 ft interstate standard where no trucks require detour. The clearance restriction causes 0.9% of trucks to detour (Eq. 10.1), and with an ADT of 124,161 and 7.0% truck traffic, an estimated 74 trucks per day are unable to use this crossing.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.749358,-95.371275"
22200237405233,'0.5 MI E OF IH 820',32.6680611111111,-97.2315166666667,"32.668061, -97.231517",1973,11,109587,8.0,4.65,15.255906,0.766507432399999,67.199399995535,67.199399995535,1.0,67.199399995535,Top 20,"This bridge has a vertical clearance of 15.3 ft (NBI Item 10), below the 16.1 ft interstate standard where no trucks require detour. The clearance restriction causes 0.8% of trucks to detour (Eq. 10.1), and with an ADT of 109,587 and 8.0% truck traffic, an estimated 67 trucks per day are unable to use this crossing.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.668061,-97.231517"
