STRUCTURE_NUMBER_008,LOCATION_009,lat,lon,"coordinates (lat, lon)",YEAR_BUILT_027,FUNCTIONAL_CLASS_026,ADT_029,PERCENT_ADT_TRUCK_109,MIN_VERT_CLR_010,VC_ft,d_vc,N_detour,p_height,V_elem_height,Risk_Index,Risk_Level,Risk_Explanation,Street_View_URL
121020005009518,'1.65 MI NW OF IH 610',29.819366666666700,-95.46831666666670,"29.819367, -95.468317",2016,12,273500,10.0,3.72,12.2047248,86.08750994809590,23544.933970804200,23544.933970804200,1.0,23544.933970804200,Top 20,"This bridge has a dangerously low clearance of 12.2 ft on a urban freeway/expressway carrying 273,500 vehicles a day which is 86% of trucks,  nearly all cannot safely pass underneath, putting roughly 23,545 trucks a day at risk of a collision.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.819367,-95.468317"
41880027501171,'0.6 MI. E of IH 27',35.192544444444400,-101.82692222222200,"35.192544, -101.826922",2018,11,48600,35.0,4.36,14.3044624,1.6271833129600000,276.7838815344960,276.7838815344960,1.0,276.7838815344960,Top 20,"This bridge has a low clearance of 14.3 ft on a urban interstate carrying 48,600 vehicles a day which is 1.6% of trucks cannot safely pass underneath, putting roughly 277 trucks a day at risk of a collision.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.192544,-101.826922"
100930E00506102,'1.17 MI SW of Spur 502',32.524675,-94.76208333333330,"32.524675, -94.762083",2010,17,10938,2.0,1.83,6.0039372,100.0,218.76,218.76,1.0,218.76,Top 20,"This bridge has a extremely low clearance of 6.0 ft on a urban major collector carrying 10,938 vehicles a day which is 100% of trucks, nearly all cannot safely pass underneath, putting roughly 219 trucks a day at risk of a collision.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.524675,-94.762083"
41880027501172,'0.6 MI E of IH 27',35.19239444444440,-101.82690277777800,"35.192394, -101.826903",2018,11,50400,19.0,4.36,14.3044624,1.6271833129600000,155.8190740490500,155.8190740490500,1.0,155.8190740490500,Top 20,"This bridge has a low clearance of 14.3 ft on a urban interstate carrying 50,400 vehicles a day — 1.6% of trucks cannot safely pass underneath, putting roughly 156 trucks a day at risk of a collision.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.192394,-101.826903"
110030255301016,'AT US 59/SOUTH INTERCHANG',31.309683333333300,-94.7264277777778,"31.309683, -94.726428",1988,14,3950,12.0,3.94,12.9265096,22.915513284511100,108.61953296858200,108.61953296858200,1.0,108.61953296858200,Top 20,"This bridge has a dangerously low clearance of 12.9 ft on a urban other principal arterial carrying 3,950 vehicles a day which is  22.9% of trucks cannot safely pass underneath, putting roughly 109 trucks a day at risk of a collision.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.309683,-94.726428"
41880027501174,'1.12 MI E of IH 27',35.192611111111100,-101.8173361111110,"35.192611, -101.817336",2018,11,39600,18.0,4.42,14.5013128,1.4491124411200000,103.29273480303400,103.29273480303400,1.0,103.29273480303400,Top 20,"This bridge has a low clearance of 14.5 ft on a urban interstate carrying 39,600 vehicles a day which is 1.4% of trucks cannot safely pass underneath, putting roughly 103 trucks a day at risk of a collision.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.192611,-101.817336"
41880027501173,'1.12 mi E of IH 27',35.19275555555560,-101.81731388888900,"35.192756, -101.817314",2018,11,39650,17.0,4.42,14.5013128,1.4491124411200000,97.67742409369380,97.67742409369380,1.0,97.67742409369380,Top 20,"This bridge has a low clearance of 14.5 ft on a urban interstate carrying 39,650 vehicles a day which is 1.4% of trucks cannot safely pass underneath, putting roughly 98 trucks a day at risk of a collision.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.192756,-101.817314"
180570000911397,'1.8 Mi E of IH 45',32.79108333333330,-96.75615,"32.791083, -96.756150",1963,11,82550,8.0,4.47,14.6653548,1.3007200479200000,85.89955196463680,85.89955196463680,1.0,85.89955196463680,Top 20,"This bridge has a low clearance of 14.7 ft on a urban interstate carrying 82,550 vehicles a day which is 1.3% of trucks cannot safely pass underneath, putting roughly 86 trucks a day at risk of a collision.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.791083,-96.756150"
201760021404005,'0.00 MI W LOUISIANA S/L',31.06433888888890,-93.51913055555560,"31.064339, -93.519131",1937,6,1369,16.0,3.79,12.4343836,35.66419391494920,78.11885035130470,78.11885035130470,1.0,78.11885035130470,Top 20,"This bridge has a dangerously low clearance of 12.4 ft on a rural minor arterial carrying 1,369 vehicles a day which is 35.7% of trucks cannot safely pass underneath, putting roughly 78 trucks a day at risk of a collision.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.064339,-93.519131"
121020050003229,'SW OF DOWNTOWN HOUSTON',29.749358333333300,-95.371275,"29.749358, -95.371275",1967,11,124161,7.0,4.62,15.1574808,0.8555428683200010,74.35754065143570,74.35754065143570,1.0,74.35754065143570,Top 20,"This bridge has a low clearance of 15.2 ft on a urban interstate carrying 124,161 vehicles a day which is  0.9% of trucks cannot safely pass underneath, putting roughly 74 trucks a day at risk of a collision.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.749358,-95.371275"
22200237405233,'0.5 MI E OF IH 820',32.66806111111110,-97.23151666666670,"32.668061, -97.231517",1973,11,109587,8.0,4.65,15.255906,0.7665074323999990,67.19939999553500,67.19939999553500,1.0,67.19939999553500,Top 20,"This bridge has a low clearance of 15.3 ft on a urban interstate carrying 109,587 vehicles a day which is 0.8% of trucks cannot safely pass underneath, putting roughly 67 trucks a day at risk of a collision.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.668061,-97.231517"
22200237405232,'0.4 MI E OF IH 820',32.66880833333330,-97.23116944444450,"32.668808, -97.231169",1973,11,109587,8.0,4.65,15.255906,0.7665074323999990,67.19939999553500,67.19939999553500,1.0,67.19939999553500,Top 20,"This bridge has a low clearance of 15.3 ft on a urban interstate carrying 109,587 vehicles a day which is 0.8% of trucks cannot safely pass underneath, putting roughly 67 trucks a day at risk of a collision.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.668808,-97.231169"
121020050003539,'IH 45 AT IH 69',29.74290277777780,-95.35806944444440,"29.742903, -95.358069",1972,12,54300,10.0,4.51,14.7965884,1.1820061333600000,64.1829330414481,64.1829330414481,1.0,64.1829330414481,Top 20,"This bridge has a low clearance of 14.8 ft on a urban freeway/expressway carrying 54,300 vehicles a day which is 1.2% of trucks cannot safely pass underneath, putting roughly 64 trucks a day at risk of a collision.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.742903,-95.358069"
150950053501031,'0.30 MI W OF FM 78',29.58453611111110,-97.99321388888890,"29.584536, -97.993214",1966,11,26600,33.0,4.69,15.3871396,0.6477935178400000,56.863314995995200,56.863314995995200,1.0,56.863314995995200,Top 20,"This bridge has a low clearance of 15.4 ft on a urban interstate carrying 26,600 vehicles a day which is 0.6% of trucks cannot safely pass underneath, putting roughly 57 trucks a day at risk of a collision.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.584536,-97.993214"
150150001709239,'IH 35 @ IH 10',29.39626944444440,-98.51116666666670,"29.396269, -98.511167",1967,11,157486,11.0,4.8,15.748032000000000,0.3213302528000030,55.66551781170740,55.66551781170740,1.0,55.66551781170740,Top 20,"This bridge has a low clearance of 15.7 ft on a urban interstate carrying 157,486 vehicles a day which is  0.3% of trucks cannot safely pass underneath, putting roughly 56 trucks a day at risk of a collision.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.396269,-98.511167"
150150001709240,'IH 35 @ IH 10',29.39625833333330,-98.51131666666670,"29.396258, -98.511317",1967,11,173066,9.0,4.8,15.748032000000000,0.3213302528000030,50.05020737797680,50.05020737797680,1.0,50.05020737797680,Top 20,"This bridge has a low clearance of 15.7 ft on a urban interstate carrying 173,066 vehicles a day which is  0.3% of trucks cannot safely pass underneath, putting roughly 50 trucks a day at risk of a collision.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.396258,-98.511317"
11170000913161,'JCT FM36 AND IH 30',33.019019444444400,-96.20509444444440,"33.019019, -96.205094",1958,1,26866,11.0,4.44,14.566929600000000,1.3897554838400000,41.07088791172990,41.07088791172990,1.0,41.07088791172990,Top 20,"This bridge has a low clearance of 14.6 ft on a rural interstate carrying 26,866 vehicles a day which is 1.4% of trucks cannot safely pass underneath, putting roughly 41 trucks a day at risk of a collision.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.019019,-96.205094"
11170000913162,'JCT FM36 AND IH30',33.018825,-96.20499722222220,"33.018825, -96.204997",1958,1,22330,11.0,4.42,14.5013128,1.4491124411200000,35.59454889123060,35.59454889123060,1.0,35.59454889123060,Top 20,"This bridge has a low clearance of 14.5 ft on a rural interstate carrying 22,330 vehicles a day which is 1.4% of trucks cannot safely pass underneath, putting roughly 36 trucks a day at risk of a collision.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=33.018825,-96.204997"
