STRUCTURE_NUMBER_008,LOCATION_009,ADT_029,PERCENT_ADT_TRUCK_109,INVENTORY_RATING_066,YEAR_BUILT_027,SUPERSTRUCTURE_COND_059,FUNCTIONAL_CLASS_026,r_i_lb,d_i,N_i,V_age_overload,V_elem_overload,Risk_Index,"coordinates (lat, lon)",Risk_Level,Street_View_URL,Risk_Explanation
91100001424489.000,1.2 MI S OF US 77,810110,36.0,32.7,2007,N,11,65400.0,35.04840624,102215.0318,0.75,1.0,76661.27382,"32.027383, -97.095483",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.027383,-97.095483","This Urban Interstate bridge is at high overload risk because it carries 291,640 trucks per day, which is 36% of its 810,110 total daily vehicles. Its inventory rating of 32.7 tons (NBI Item 066) means 35% of those trucks exceed its safe load limit, producing 102,215 overweight crossings per year. That is roughly 280 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 2007, this bridge has faced heavy overload pressure throughout its service life."
22200008112086.000,.9 MI N OF US287 OVER I35,185654,33.0,23.6,1967,N,11,47200.0,66.06218176,40473.53737,1.25,1.0,50591.92171,"32.899894, -97.317233",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.899894,-97.317233","This Urban Interstate bridge is at high overload risk because it carries 61,266 trucks per day, which is 33% of its 185,654 total daily vehicles. Its inventory rating of 23.6 tons (NBI Item 066) means 66% of those trucks exceed its safe load limit, producing 40,474 overweight crossings per year. That is roughly 111 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1967, decades of overload traffic have compounded stress on its structure."
61650000514169.000,IH 20 at SH 349,244794,35.0,32.7,1965,6,11,65400.0,35.04840624,30028.73845,1.25,1.025,38474.32114,"31.972478, -102.073969",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.972478,-102.073969","This Urban Interstate bridge is at high overload risk because it carries 85,678 trucks per day, which is 35% of its 244,794 total daily vehicles. Its inventory rating of 32.7 tons (NBI Item 066) means 35% of those trucks exceed its safe load limit, producing 30,029 overweight crossings per year. That is roughly 82 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1965, decades of overload traffic have compounded stress on its structure. Its superstructure (NBI Item 059) is rated 6 out of 9 (satisfactory), making it more susceptible to overload damage."
142460001508247.000,0.3 MI S OF SH 29,517256,14.0,32.7,1965,6,11,65400.0,35.04840624,25380.59779,1.25,1.025,32518.89091,"30.625933, -97.691122",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.625933,-97.691122","This Urban Interstate bridge is at high overload risk because it carries 72,416 trucks per day, which is 14% of its 517,256 total daily vehicles. Its inventory rating of 32.7 tons (NBI Item 066) means 35% of those trucks exceed its safe load limit, producing 25,381 overweight crossings per year. That is roughly 70 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1965, decades of overload traffic have compounded stress on its structure. Its superstructure (NBI Item 059) is rated 6 out of 9 (satisfactory), making it more susceptible to overload damage."
180570000911347.000,0.3 Mi E of Preston St,194353,17.0,20.0,1961,6,11,40000.0,75.7096,25014.45941,1.25,1.025,32049.77612,"32.778808, -96.782167",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.778808,-96.782167","This Urban Interstate bridge is at high overload risk because it carries 33,040 trucks per day, which is 17% of its 194,353 total daily vehicles. Its inventory rating of 20.0 tons (NBI Item 066) means 76% of those trucks exceed its safe load limit, producing 25,014 overweight crossings per year. That is roughly 69 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1961, decades of overload traffic have compounded stress on its structure. Its superstructure (NBI Item 059) is rated 6 out of 9 (satisfactory), making it more susceptible to overload damage."
180570237403145.000,0.7 MI W OF SH 342,152210,20.0,23.6,1971,N,11,47200.0,66.06218176,20110.64937,1.542857143,1.0,31027.85903,"32.643853, -96.793758",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.643853,-96.793758","This Urban Interstate bridge is at high overload risk because it carries 30,442 trucks per day, which is 20% of its 152,210 total daily vehicles. Its inventory rating of 23.6 tons (NBI Item 066) means 66% of those trucks exceed its safe load limit, producing 20,111 overweight crossings per year. That is roughly 55 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1971, its age further increases its vulnerability to repeated overloading."
180570237403190.000,0.85 MI E OF IH 45,138942,21.0,23.6,1971,N,11,47200.0,66.06218176,19275.50448,1.542857143,1.0,29739.34977,"32.667936, -96.714383",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.667936,-96.714383","This Urban Interstate bridge is at high overload risk because it carries 29,178 trucks per day, which is 21% of its 138,942 total daily vehicles. Its inventory rating of 23.6 tons (NBI Item 066) means 66% of those trucks exceed its safe load limit, producing 19,276 overweight crossings per year. That is roughly 53 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1971, its age further increases its vulnerability to repeated overloading."
180570237403191.000,1.6 MI E OF IH 45,138942,21.0,23.6,1971,N,11,47200.0,66.06218176,19275.50448,1.542857143,1.0,29739.34977,"32.673147, -96.704042",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.673147,-96.704042","This Urban Interstate bridge is at high overload risk because it carries 29,178 trucks per day, which is 21% of its 138,942 total daily vehicles. Its inventory rating of 23.6 tons (NBI Item 066) means 66% of those trucks exceed its safe load limit, producing 19,276 overweight crossings per year. That is roughly 53 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1971, its age further increases its vulnerability to repeated overloading."
91100001424205.000,2.5 MI S OF IH 35E/IH 35W,84716,40.0,23.6,1964,N,11,47200.0,66.06218176,22386.09516,1.25,1.0,27982.61895,"32.014528, -97.09615",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.014528,-97.096150","This Urban Interstate bridge is at high overload risk because it carries 33,886 trucks per day, which is 40% of its 84,716 total daily vehicles. Its inventory rating of 23.6 tons (NBI Item 066) means 66% of those trucks exceed its safe load limit, producing 22,386 overweight crossings per year. That is roughly 61 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1964, decades of overload traffic have compounded stress on its structure."
180570237402118.000,0.53 MI N OF US 80,209787,13.0,23.6,1971,N,11,47200.0,66.06218176,18016.683,1.542857143,1.0,27797.16806,"32.800222, -96.626261",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.800222,-96.626261","This Urban Interstate bridge is at high overload risk because it carries 27,272 trucks per day, which is 13% of its 209,787 total daily vehicles. Its inventory rating of 23.6 tons (NBI Item 066) means 66% of those trucks exceed its safe load limit, producing 18,017 overweight crossings per year. That is roughly 49 overweight trucks every single day pushing this bridge beyond its rated capacity. Built in 1971, its age further increases its vulnerability to repeated overloading."
