STRUCTURE_NUMBER_008,LOCATION_009,_lat,_lon,YEAR_BUILT_027,N_i,p_tornado,V_age,V_des,Risk_tornado,Risk_Rank,"coordinates (lat, lon)",Risk_Level,Street_View_URL,Risk_Explanation
132410008910039.00,'0.25 MI S  OF SH 60',29.30816389,-96.10392222,1930,9,0.137172924,2.714285714,1.666666667,0.620544181,1,"29.3081638888888, -96.1039222222222",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.308164,-96.103922","This bridge is at high tornado risk because 9 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 13.7% annual chance of a direct tornado strike. Built in 1930, it has no modern wind resistance design and is nearly 3 times more vulnerable than a bridge built today (V_age = 2.71)."
022200ZL1380001,'.73 MI W OF HENDERSON ST',32.74686667,-97.34845,1938,7,0.108414641,2.485714286,2.0,0.538975643,2,"32.7468666666666, -97.34845",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.746867,-97.348450","This bridge is at high tornado risk because 7 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 10.8% annual chance of a direct tornado strike. Built in 1938, it has no modern wind resistance design and is nearly 2 times more susceptible to tornado damage than a modern structure (V_age = 2.49)."
121700011003008.00,'1.10 MI S  OF LP 336',30.32023611,-95.4644,1926,9,0.137172924,2.828571429,1.0,0.388003414,3,"30.3202361111111, -95.4644",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.320236,-95.464400","This bridge is at high tornado risk because 9 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 13.7% annual chance of a direct tornado strike. Built in 1926, it has no modern wind resistance design and faces nearly 3 times the tornado vulnerability of a bridge built today (V_age = 2.83)."
150150B08310001,'0.02 MI E OF N PRESA',29.42507222,-98.48856111,1900,4,0.063470044,3.571428571,1.666666667,0.377797881,4,"29.4250722222222, -98.4885611111111",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.425072,-98.488561","This bridge is at high tornado risk because 4 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 6.3% annual chance of a direct tornado strike. Built in 1900, it has no modern wind resistance design and has nearly 4 times the structural exposure to tornado forces of a modern bridge (V_age = 3.57)."
150150B00275001,'0.05 MI N OF CONVENT ST',29.43033889,-98.49254167,1900,4,0.063470044,3.571428571,1.666666667,0.377797881,4,"29.4303388888888, -98.4925416666666",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.430339,-98.492542","This bridge is at high tornado risk because 4 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 6.3% annual chance of a direct tornado strike. Built in 1900, it has no modern wind resistance design and carries nearly 4 times the tornado vulnerability of a newly built structure (V_age = 3.57)."
150150B28000001,'0.10 MI S OF E COMMERCE',29.42269722,-98.48965,1900,4,0.063470044,3.571428571,1.666666667,0.377797881,4,"29.4226972222222, -98.48965",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.422697,-98.489650","This bridge is at high tornado risk because 4 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 6.3% annual chance of a direct tornado strike. Built in 1900, it has no modern wind resistance design and holds nearly 4 times the tornado risk exposure of a modern bridge (V_age = 3.57)."
120850B00790001,'1.20 MI N OF BROADWAY AVE',29.31009722,-94.82383056,1960,9,0.137172924,1.857142857,1.333333333,0.339666288,7,"29.3100972222222, -94.8238305555555",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.310097,-94.823831","This bridge is at high tornado risk because 9 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 13.7% annual chance of a direct tornado strike. Built in 1960, it has no modern wind resistance design and stands at nearly 2 times the tornado vulnerability of a bridge built today (V_age = 1.86)."
150150B24355004,'0.01 MI N OF CROCKETT ST',29.42516944,-98.48969167,1922,4,0.063470044,2.942857143,1.666666667,0.311305454,8,"29.4251694444444, -98.4896916666666",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.425169,-98.489692","This bridge is at high tornado risk because 4 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 6.3% annual chance of a direct tornado strike. Built in 1922, it has no modern wind resistance design and sits at nearly 3 times the structural tornado risk of a modern bridge (V_age = 2.94)."
121700C01080115,'0.36 MI N OF LEWIS ST',30.32118333,-95.46031389,1955,10,0.151202321,2.0,1.0,0.302404642,9,"30.3211833333333, -95.4603138888888",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=30.321183,-95.460314","This bridge is at high tornado risk because 10 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 15.1% annual chance of a direct tornado strike. Built in 1955, it has no modern wind resistance design and ranks nearly 2 times more vulnerable to tornado forces than a modern structure (V_age = 2.00)."
150150B27995001,'0.02 MI N OF CROCKETT ST',29.42559167,-98.48873056,1925,4,0.063470044,2.857142857,1.666666667,0.302238305,10,"29.4255916666666, -98.4887305555555",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.425592,-98.488731","This bridge is at high tornado risk because 4 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 6.3% annual chance of a direct tornado strike. Built in 1925, it has no modern wind resistance design and has nearly 3 times less resistance to tornado forces than a bridge built today (V_age = 2.86)."
150150B01410001,'0.20 MI E OF S MAIN',29.41556389,-98.49410556,1928,4,0.063470044,2.771428571,1.666666667,0.293171156,11,"29.4155638888888, -98.4941055555555",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.415564,-98.494106","This bridge is at high tornado risk because 4 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 6.3% annual chance of a direct tornado strike. Built in 1928, it has no modern wind resistance design and presents nearly 3 times the tornado vulnerability of a bridge built today (V_age = 2.77)."
121020002713176.00,'US 59 at SH 288',29.73313333,-95.37158889,1979,15,0.218000861,1.314285714,1.0,0.286515417,12,"29.7331333333333, -95.3715888888888",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.733133,-95.371589","This bridge is at high tornado risk because 15 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 21.8% annual chance of a direct tornado strike. Built in 1979, it has no modern wind resistance design and has 31% more structural exposure to tornado forces than a bridge built today (V_age = 1.31)."
121020002713195.00,'US 59 & SH 288 I/C',29.73381111,-95.37172222,1979,15,0.218000861,1.314285714,1.0,0.286515417,12,"29.7338111111111, -95.3717222222222",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=29.733811,-95.371722","This bridge is at high tornado risk because 15 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 21.8% annual chance of a direct tornado strike. Built in 1979, it has no modern wind resistance design and has 31% more structural exposure to tornado forces than a bridge built today (V_age = 1.31)."
60690000501024.00,'0.35 MI E OF US 385',31.85223056,-102.3551,1937,7,0.108414641,2.514285714,1.0,0.272585382,14,"31.8522305555555, -102.3551",Top 20,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.852231,-102.355100","This bridge is at high tornado risk because 7 tornado touchdowns were recorded within 1 mile of it between 1950 and 2010, a 10.8% annual chance of a direct tornado strike. Built in 1937, it has no modern wind resistance design and holds 151% more tornado vulnerability than a bridge built today (V_age = 2.51)."
