STRUCTURE_NUMBER_008,COUNTY_CODE_003,LOCATION_009,"coordinates (lat, lon)",N_wildfires_within_1mi,T_years_wildfire_obs,lambda_wildfire,p_wildfire,V_elem_wildfire,V_age_wildfire,V_des_wildfire,wildfire_design_row_43B,wildfire_material_class,sdes_wildfire_raw_0to5,Risk_wildfire,Risk_Level,Risk_Explanation,Street_View_URL
091610B00331001,309,'0.05 MI NE OF UNIV PARK',"31.561644, -97.128183",78,29,2.68965517241379,0.932095649371574,1.0,3.6,1.66666666666667,Truss - Thru,Steel,4.0,5.59257389622944,Top 20,"This bridge has 78 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 93.2%. Its steel superstructure has a design vulnerability (V_des) of 1.67, and its age vulnerability (V_age) of 3.6 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 5.593.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.561644,-97.128183"
2.3025E+14,49,'1.20 MI NE OF FM 3021',"31.834242, -99.099828",45,29,1.55172413793103,0.788117655667303,1.0,2.74285714285714,2.0,Stringer/MultiBeam/Girder,Wood or Timber,5.0,4.32338828251778,Top 20,"This bridge has 45 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 78.8%. Its wood or timber superstructure has a design vulnerability (V_des) of 2.0, and its age vulnerability (V_age) of 2.74 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 4.323.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.834242,-99.099828"
9.16101E+13,309,'0.8 Mi NE of IH 35',"31.677592, -97.088469",95,29,3.27586206896552,0.962215717472,1.0,3.22857142857143,1.33333333333333,Culvert,Concrete,3.0,4.14210956473661,Top 20,"This bridge has 95 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 96.2%. Its concrete superstructure has a design vulnerability (V_des) of 1.33, and its age vulnerability (V_age) of 3.23 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 4.142.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.677592,-97.088469"
9.161E+13,309,'0.5 MI SE OF US 84',"31.544081, -97.141128",83,29,2.86206896551724,0.942849604336374,1.0,2.62857142857143,1.66666666666667,Stringer/MultiBeam/Girder,Steel,4.0,4.13057921899745,Top 20,"This bridge has 83 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 94.3%. Its steel superstructure has a design vulnerability (V_des) of 1.67, and its age vulnerability (V_age) of 2.63 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 4.131.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.544081,-97.141128"
1.9155E+14,315,'0.80 MI N OF FM 2208',"32.754936, -94.342339",45,29,1.55172413793103,0.788117655667303,1.0,3.02857142857143,1.66666666666667,Stringer/MultiBeam/Girder,Steel Continuous,4.0,3.97811769051115,Top 20,"This bridge has 45 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 78.8%. Its steel continuous superstructure has a design vulnerability (V_des) of 1.67, and its age vulnerability (V_age) of 3.03 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 3.978.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.754936,-94.342339"
022200ZR5050001,439,'0.1 MI N IH 30 E IH 35',"32.750531, -97.303325",58,29,2.0,0.864664716763387,1.0,2.74285714285714,1.66666666666667,Stringer/MultiBeam/Girder,Steel Continuous,4.0,3.95275299091834,Top 20,"This bridge has 58 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 86.5%. Its steel continuous superstructure has a design vulnerability (V_des) of 1.67, and its age vulnerability (V_age) of 2.74 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 3.953.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.750531,-97.303325"
232150B00245001,429,'0.10 MI E  OF US 183',"32.753553, -98.900525",56,29,1.93103448275862,0.855001877186422,1.0,2.77142857142857,1.66666666666667,Stringer/MultiBeam/Girder,Steel Continuous,4.0,3.9492943850991904,Top 20,"This bridge has 56 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 85.5%. Its steel continuous superstructure has a design vulnerability (V_des) of 1.67, and its age vulnerability (V_age) of 2.77 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 3.949.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.753553,-98.900525"
091610B06809001,309,'0.5 MI NW OF DUTTON AVE',"31.545933, -97.137456",85,29,2.93103448275862,0.946658171608433,1.0,3.0,1.33333333333333,Arch - Deck,Concrete,3.0,3.78663268643373,Top 20,"This bridge has 85 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 94.7%. Its concrete superstructure has a design vulnerability (V_des) of 1.33, and its age vulnerability (V_age) of 3.0 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 3.787.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.545933,-97.137456"
9.161E+13,309,'0.8 Mi E of US 84',"31.527033, -97.157203",55,29,1.89655172413793,0.849914736664198,1.0,2.65714285714286,1.66666666666667,Stringer/MultiBeam/Girder,Steel,4.0,3.76390811951288,Top 20,"This bridge has 55 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 85.0%. Its steel superstructure has a design vulnerability (V_des) of 1.67, and its age vulnerability (V_age) of 2.66 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 3.764.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=31.527033,-97.157203"
091100F00040001,217,'0.3 MI N OF FM 933',"32.147422, -97.396847",28,29,0.96551724137931,0.619213809581311,1.0,3.62857142857143,1.66666666666667,Girder & Floorbeam,Steel,4.0,3.7447692293726895,Top 20,"This bridge has 28 wildfire events within 1 mile over 29 years, with an annual wildfire probability (p_wildfire) of 61.9%. Its steel superstructure has a design vulnerability (V_des) of 1.67, and its age vulnerability (V_age) of 3.63 reflects high structural exposure to fire damage, with a wildfire risk index (Risk_wildfire) of 3.745.","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=32.147422,-97.396847"
